Local_Team,Away_Team,Year,Local_Goals,Away_Goals
Australia,Spain,2014,0,3
Netherlands,Chile,2014,2,0
Colombia,Greece,2014,3,0
Ivory Coast,Japan,2014,2,1
Chile,Australia,2014,3,1
Japan,Greece,2014,0,0
Colombia,Ivory Coast,2014,2,1
Honduras,Switzerland,2014,0,3
Honduras,Ecuador,2014,1,2
Switzerland,France,2014,2,5
France,Honduras,2014,3,0
Costa Rica,England,2014,0,0
Switzerland,Ecuador,2014,2,1
Ecuador,France,2014,0,0
Italy,Costa Rica,2014,0,1
Uruguay,England,2014,2,1
England,Italy,2014,1,2
Uruguay,Costa Rica,2014,1,3
Greece,Ivory Coast,2014,2,1
Italy,Uruguay,2014,0,1
Panama,Tunisia,2018,1,2
Japan,Senegal,2018,2,2
Poland,Senegal,2018,1,2
Colombia,Japan,2018,1,2
England,Belgium,2018,0,1
Germany,Sweden,2018,2,1
Belgium,Tunisia,2018,5,2
Tunisia,England,2018,1,2
Belgium,Panama,2018,3,0
Mexico,Sweden,2018,0,3
South Korea,Germany,2018,2,0
Poland,Colombia,2018,0,3
England,Panama,2018,6,1
Japan,Poland,2018,0,1
Croatia,England,2018,2,1
France,Argentina,2018,4,3
Uruguay,Portugal,2018,2,1
Spain,Russia,2018,1,1
Croatia,Denmark,2018,1,1
Brazil,Mexico,2018,2,0
Belgium,Japan,2018,3,2
Sweden,Switzerland,2018,1,0
Colombia,England,2018,1,1
Uruguay,France,2018,0,2
Brazil,Belgium,2018,1,2
Sweden,England,2018,0,2
Russia,Croatia,2018,2,2
France,Belgium,2018,1,0
South Korea,Mexico,2018,1,2
Senegal,Colombia,2018,0,1
Sweden,South Korea,2018,1,0
Denmark,France,2018,0,0
Switzerland,Costa Rica,2018,2,2
Belgium,England,2018,2,0
Russia,Saudi Arabia,2018,5,0
Egypt,Uruguay,2018,0,1
Russia,Egypt,2018,3,1
Uruguay,Saudi Arabia,2018,1,0
Uruguay,Russia,2018,3,0
Saudi Arabia,Egypt,2018,2,1
Morocco,Iran,2018,0,1
Portugal,Spain,2018,3,3
Portugal,Morocco,2018,1,0
Iran,Spain,2018,0,1
Iran,Portugal,2018,1,1
Spain,Morocco,2018,2,2
France,Australia,2018,2,1
Peru,Denmark,2018,0,1
Denmark,Australia,2018,1,1
France,Peru,2018,1,0
Australia,Peru,2018,0,2
Argentina,Iceland,2018,1,1
Croatia,Nigeria,2018,2,0
Argentina,Croatia,2018,0,3
Nigeria,Iceland,2018,2,0
Nigeria,Argentina,2018,1,2
Iceland,Croatia,2018,1,2
Costa Rica,Serbia,2018,0,1
Brazil,Switzerland,2018,1,1
Brazil,Costa Rica,2018,2,0
Serbia,Switzerland,2018,1,2
Serbia,Brazil,2018,0,2
Germany,Mexico,2018,0,1
France,Croatia,2018,4,2
